policy,K,N,two_rooms,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,7,False,1,11,True,12,0,5.0,12.0
ask_or_act,3,7,False,1,12,True,9,1,3.5,9.5
ask_or_act,3,7,False,1,13,True,7,1,2.5,7.5
ask_or_act,3,7,False,1,14,True,3,1,1.5,3.5
ask_or_act,3,7,False,1,15,True,5,1,3.5,5.5
ask_or_act,3,7,False,1,16,True,6,0,0.0,6.0
ask_or_act,3,7,False,1,17,True,7,1,1.5,7.5
ask_or_act,3,7,False,1,18,True,4,1,1.5,4.5
ask_or_act,3,7,False,1,19,True,3,0,0.0,3.0
ask_or_act,3,7,False,2,0,True,4,0,0.0,4.0
ask_or_act,3,7,False,2,1,True,4,1,1.5,4.5
ask_or_act,3,7,False,2,2,True,8,0,2.0,8.0
ask_or_act,3,7,False,2,3,True,8,0,1.0,8.0
ask_or_act,3,7,False,2,4,True,8,0,2.0,8.0
ask_or_act,3,7,False,2,5,False,11,0,5.0,11.0
ask_or_act,3,7,False,2,6,True,6,0,1.0,6.0
ask_or_act,3,7,False,2,7,True,3,0,0.0,3.0
ask_or_act,3,7,False,2,8,True,11,1,4.5,11.5
ask_or_act,3,7,False,2,9,True,9,0,1.0,9.0
ask_or_act,3,7,False,2,10,True,5,0,1.0,5.0
ask_or_act,3,7,False,2,11,True,3,0,0.0,3.0
ask_or_act,3,7,False,2,12,True,7,1,2.5,7.5
ask_or_act,3,7,False,2,13,True,6,0,2.0,6.0
ask_or_act,3,7,False,2,14,True,8,0,5.0,8.0
ask_or_act,3,7,False,2,15,True,8,0,1.0,8.0
ask_or_act,3,7,False,2,16,True,4,0,0.0,4.0
ask_or_act,3,7,False,2,17,True,5,0,2.0,5.0
ask_or_act,3,7,False,2,18,True,5,0,2.0,5.0
ask_or_act,3,7,False,2,19,True,5,1,2.5,5.5
ask_or_act,3,7,False,3,0,True,8,0,5.0,8.0
ask_or_act,3,7,False,3,1,True,7,0,3.0,7.0
ask_or_act,3,7,False,3,2,True,4,0,1.0,4.0
ask_or_act,3,7,False,3,3,True,7,1,2.5,7.5
ask_or_act,3,7,False,3,4,True,6,1,1.5,6.5
ask_or_act,3,7,False,3,5,True,7,0,3.0,7.0
ask_or_act,3,7,False,3,6,True,9,0,3.0,9.0
ask_or_act,3,7,False,3,7,False,8,0,5.0,8.0
ask_or_act,3,7,False,3,8,True,6,0,1.0,6.0
ask_or_act,3,7,False,3,9,True,5,0,2.0,5.0
ask_or_act,3,7,False,3,10,True,5,0,0.0,5.0
ask_or_act,3,7,False,3,11,True,5,1,1.5,5.5
ask_or_act,3,7,False,3,12,True,11,0,3.0,11.0
ask_or_act,3,7,False,3,13,True,6,1,1.5,6.5
ask_or_act,3,7,False,3,14,True,6,0,2.0,6.0
ask_or_act,3,7,False,3,15,True,3,0,0.0,3.0
ask_or_act,3,7,False,3,16,True,2,0,0.0,2.0
ask_or_act,3,7,False,3,17,True,10,0,2.0,10.0
ask_or_act,3,7,False,3,18,True,5,0,0.0,5.0
ask_or_act,3,7,False,3,19,True,7,0,3.0,7.0
ask_or_act,3,7,False,4,0,True,5,0,2.0,5.0
ask_or_act,3,7,False,4,1,True,9,0,1.0,9.0
ask_or_act,3,7,False,4,2,True,8,1,3.5,8.5
ask_or_act,3,7,False,4,3,True,4,0,1.0,4.0
ask_or_act,3,7,False,4,4,True,3,0,0.0,3.0
ask_or_act,3,7,False,4,5,True,2,0,0.0,2.0
ask_or_act,3,7,False,4,6,True,8,0,1.0,8.0
ask_or_act,3,7,False,4,7,False,10,0,5.0,10.0
ask_or_act,3,7,False,4,8,True,6,0,0.0,6.0
